,Sim Name,Full Name,Role,pp_runs,pp_avg,pp_sr,mid_runs,mid_avg,mid_sr,death_runs,death_avg,death_sr,Unnamed: 12,pp_wkts,pp_balls,pp_bowl_avg,pp_eco,pp_bowl_sr,mid_wkts,mid_balls,mid_bowl_avg,mid_eco,mid_bowl_sr,death_wkts,death_balls,death_bowl_avg,death_eco,death_bowl_sr,Unnamed: 28,SR_0_10_Balls,SR_10_20_Balls,SR_20_30_Balls,SR_30_40_Balls,SRdeath_0_10_Balls,SRdeath_10_20_Balls,SRdeath_20_30_Balls,SRdeath_30_40_Balls
0,AJ Finch,Aaron Finch,BAT,911,24.9,114.52,978,31.85,137.59,203,7.61,129.12,,0.0,6.0,373.44,17.25,129.87,1.0,37.0,283.79,17.71,96.15,0.0,1.0,168.64,17.91,56.5,,1.18,1.26,1.53,1.31,1.7,0.0,0.0,0.0
1,AM Rahane,Ajinkya Rahane,BAT,2049,33.55,115.07,1672,34.22,122.49,353,19.47,149.74,,0.0,0.0,373.44,17.25,129.87,1.0,6.0,342.41,17.87,114.94,0.0,0.0,168.64,17.91,56.5,,1.02,1.3,1.13,1.43,0.96,0.5,0.0,0.0
2,AD Hales,Alex Hales,BAT,599,60.96,154.85,419,22.95,124.6,25,1.88,66.69,,,,373.44,17.25,129.87,,,342.41,17.87,114.94,,,168.64,17.91,56.5,,1.4,1.64,1.08,1.48,0.0,0.0,0.0,0.0
3,AT Rayudu,Ambati Rayudu,BAT,777,34.6,106.21,2602,34.89,124.92,811,21.73,169.5,,,,373.44,17.25,129.87,,,342.41,17.87,114.94,,,168.64,17.91,56.5,,1.1,1.33,1.45,1.53,1.63,0.0,0.0,0.0
4,BJ Hodge,Brad Hodge,BAT,149,8.06,74.86,823,47.03,116.64,521,31.8,169.48,,0.0,37.0,406.28,17.06,142.86,17.0,195.0,29.08,12.65,13.79,0.0,6.0,168.64,17.91,56.5,,0.92,1.48,1.54,1.95,0.92,0.0,0.0,0.0
5,CA Lynn,Chris Lynn,BAT,957,40.87,149.19,639,28.76,140.34,51,2.34,75.7,,,,373.44,17.25,129.87,,,342.41,17.87,114.94,,,168.64,17.91,56.5,,1.32,1.73,1.36,1.4,0.0,0.0,0.0,0.0
6,CA Ingram,Colin Ingram,BAT,103,6.04,70.8,732,34.05,138.23,189,8.22,143.42,,0.0,0.0,373.44,17.25,129.87,0.0,6.0,342.41,17.87,114.94,0.0,0.0,168.64,17.91,56.5,,1.18,1.42,1.59,2.18,1.93,0.0,0.0,0.0
7,C Munro,Colin Munro,BAT,547,28.91,145.41,361,30.88,138.67,62,2.68,79.12,,0.0,0.0,373.44,17.25,129.87,2.0,49.0,186.48,17.34,64.52,0.0,6.0,168.64,17.91,56.5,,1.32,1.51,1.54,1.58,0.8,0.0,0.0,0.0
8,DA Miller,David Miller,BAT,109,6.39,68.74,1667,47.64,128.14,795,31.47,180.95,,,,373.44,17.25,129.87,,,342.41,17.87,114.94,,,168.64,17.91,56.5,,1.07,1.49,1.76,2.18,1.68,0.86,0.0,0.0
9,DA Warner,David Warner,BAT,2894,47.12,137.11,2590,44.76,139.2,399,29.06,188.28,,0.0,0.0,373.44,17.25,129.87,0.0,2.0,342.41,17.87,114.94,0.0,0.0,168.64,17.91,56.5,,1.19,1.51,1.44,1.54,0.0,0.0,0.0,0.0
10,D Padikkal,Devdutt Padikkal,BAT,631,34.88,123.46,599,34.55,126.8,30,1.88,66.69,,,,373.44,17.25,129.87,,,342.41,17.87,114.94,,,168.64,17.91,56.5,,1.14,1.37,1.25,1.34,0.0,0.0,0.0,0.0
11,EJG Morgan,Eoin Morgan,BAT,227,13.43,83.39,926,24.85,113.55,417,20.97,168.84,,,,373.44,17.25,129.87,,,342.41,17.87,114.94,,,168.64,17.91,56.5,,0.96,1.38,1.47,1.55,1.04,0.0,0.0,0.0
