,Name,pp_runs,pp_avg,pp_sr,mid_runs,mid_avg,mid_sr,death_runs,death_avg,death_sr,pp_wkts,pp_balls,pp_bowl_sr,pp_eco,pp_bowl_avg,mid_wkts,mid_balls,mid_bowl_sr,mid_eco,mid_bowl_avg,death_wkts,death_balls,death_bowl_sr,death_bowl_avg,death_eco
0,SC Ganguly,529,27.8421,102.12,706,28.24,103.82000000000001,114,14.25,175.38,0,19,NA,10.6668,NA,10,255,25.5,7.2804,30.7,0,6,0,0,24.0
1,BB McCullum,1746,25.6765,127.17,1244,28.9302,126.67999999999999,215,30.7143,191.96,0,0,NA,NA,NA,0,7,NA,13.0002,NA,0,0,0,0,0
2,RT Ponting,45,9.0,60.0,46,15.3333,86.79,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,DJ Hussey,134,44.6667,116.52,911,29.3871,113.88000000000001,277,23.0833,173.12,0,37,NA,9.4998,NA,6,248,41.3333,7.878,53.8333,2,38,19.0,47.0,16.1142
4,Mohammad Hafeez,390,17.7273,95.35,964,32.1333,120.5,247,27.4444,176.43,10,138,13.8,6.7824,15.6,10,322,32.2,6.6414,35.2,0,2,0,0,18.0
5,R Dravid,905,53.2353,108.76999999999998,1109,22.18,115.39999999999999,160,20.0,179.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,W Jaffer,77,15.4,86.52,53,26.5,165.61999999999998,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,V Kohli,2135,37.4561,116.73,3508,40.7907,124.71000000000001,991,26.0789,201.82999999999998,0,0,NA,NA,NA,3,250,83.3333,8.148,110.0,1,14,14.0,38.0,16.2858
8,JH Kallis,1036,31.3939,105.5,1088,28.6316,100.37,303,25.25,194.23,18,535,29.7222,7.3206,35.1111,25,949,37.96,7.5456,46.48,22,315,14.3182,22.6818,9.6894
9,CL White,107,15.2857,92.24,581,32.2778,117.14,283,31.4444,191.22,0,0,NA,NA,NA,1,46,46.0,12.2856,86.0,0,0,0,0,0
10,MV Boucher,22,22.0,91.67,193,24.125,110.28999999999999,179,35.8,162.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,B Akhil,0,0,0,27,6.75,108.0,49,49.0,163.32999999999998,0,6,NA,12.0,NA,5,167,33.4,6.9204,37.6,1,20,20.0,42.0,12.6
12,AA Noffke,0,0,0,9,9.0,90.0,0,0,0,0,7,NA,22.0002,NA,0,12,NA,5.5002,NA,1,6,6.0,7.0,7.0002
13,P Kumar,6,3.0,75.0,63,15.75,100.0,271,9.6786,111.52,40,1642,41.05,6.6906,43.85,18,479,26.6111,8.6742,36.9444,32,516,16.125,26.0,10.1466
14,Z Khan,0,0,0.0,16,5.3333,40.0,101,10.1,103.06,53,1346,25.3962,6.7428,27.3962,15,383,25.5333,8.7198,36.3333,35,547,15.6286,22.4286,8.8038
15,SB Joshi,0,0,0,6,3.0,42.86,0,0,0,0,0,NA,NA,NA,1,54,54.0,8.6664,78.0,0,1,0,0,24.0
16,PA Patel,1904,26.8169,121.66,881,20.0227,117.78,63,10.5,140.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,ML Hayden,599,42.7857,129.65,442,36.8333,142.57999999999998,66,33.0,194.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,MEK Hussey,828,43.5789,107.94999999999999,985,41.0417,129.95000000000002,164,27.3333,188.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,MS Dhoni,59,29.5,81.94,2389,48.7551,105.80000000000001,2530,34.6575,187.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,SK Raina,1560,34.6667,133.22,3312,34.5,133.23000000000002,664,31.619,170.69,2,66,33.0,7.4544,41.0,17,762,44.8235,7.2114,52.5294,6,102,17.0,23.8333,8.6664
21,JDP Oram,0,0,0,56,14.0,77.78,50,12.5,138.89000000000001,3,113,37.6667,9.4998,57.0,1,55,55.0,8.6664,78.0,5,76,15.2,20.0,7.8948
22,S Badrinath,182,30.3333,76.79,930,37.2,120.61999999999999,329,21.9333,161.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,K Goel,160,20.0,99.38,34,8.5,70.83,24,24.0,109.09,0,0,NA,NA,NA,0,67,NA,8.4546,NA,0,0,0,0,0
24,JR Hopes,167,23.8571,125.56,197,32.8333,144.85,53,17.6667,143.23999999999998,1,18,18.0,8.3334,25.0,9,262,29.1111,8.535,40.7778,4,89,22.25,39.0,11.1426
25,KC Sangakkara,760,34.5455,117.82999999999998,1391,25.7593,122.34,149,13.5455,156.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,Yuvraj Singh,193,16.0833,103.76,1960,31.1111,122.58,601,18.7812,178.34,0,0,NA,NA,NA,30,815,27.1667,7.3374,32.7333,6,67,11.1667,15.8333,8.5074
27,SM Katich,145,29.0,134.26,79,19.75,121.54,17,17,130.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,IK Pathan,92,30.6667,133.32999999999998,495,21.5217,94.83,563,24.4783,156.82,28,958,34.2143,7.0716,38.6429,26,748,28.7692,7.8768,36.9615,26,407,15.6538,23.3077,9.2286
29,T Kohli,7,7.0,58.330000000000005,0,0,0.0,4,2.0,66.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
